2024-10-23 15:11:22.2946|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3124|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3124|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3263|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3263|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3402|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3402|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3402|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3635|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3713|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3713|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3884|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3884|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.4040|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.4040|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.4202|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
